"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;
"1762448810079564089,""Wed Feb 28 23:59:27 +0000 2024"",""1"",""@udimien @NesaVanina @winaaa1997 @ummuibnrizq @bangZhack86 @gibran_tweet Emang tong kosong nyaring bunyinya jad cuit cuit aja wkwkw"",""1762990931488428347"","""",""udimien"",""in"",""Palembang"",""0"",""0"",""0"",""https://x.com/ditamodo/status/1762990931488428347"",""466410934"",""ditamodo""";;;;
"1762019280525422922,""Wed Feb 28 23:59:09 +0000 2024"",""0"",""@Dulure_Gibran 16 pers itu halal.....58 haram bin najis"",""1762990856439832803"","""",""Dulure_Gibran"",""in"",""Jkt"",""0"",""1"",""0"",""https://x.com/hariany47864956/status/1762990856439832803"",""1711203064529747968"",""hariany47864956""";;;;
"1762990847166218449,""Wed Feb 28 23:59:07 +0000 2024"",""9"",""Bu Puan di Solo nggih? Mampir ke rumah saya dan rumah Mas Wali @gibran_tweet Bu *Kode?"",""1762990847166218449"","""","""",""in"","""",""1"",""2"",""2"",""https://x.com/tjitrosoenarjo1/status/1762990847166218449"",""1589823392022032384"",""tjitrosoenarjo1""";;;;
"1762574466608173228,""Wed Feb 28 23:59:03 +0000 2024"",""0"",""@Malika6027 Pernah di posting itu gibran bawa duit ke pasantren ditemani seorang laki2 bawa duit didalam kanton lalu kemudian gibran yg bagi2 duit ke santri... Waktu masa kampanye... Cuman tdk ada yg protes..."",""1762990832175784245"","""",""Malika6027"",""in"",""Perum Pratiwi Residence. Maros"",""0"",""0"",""0"",""https://x.com/aman99316601/status/1762990832175784245"",""742596036443570176"",""aman99316601""";;;;
"1762709525680046227,""Wed Feb 28 23:58:37 +0000 2024"",""1"",""@NoviBudi78 Inilah yg terjadi dgn Prabowo - Gibran: https://t.co/IvSfzQOT2C"",""1762990720225571257"",""https://pbs.twimg.com/ext_tw_video_thumb/1762990668572774400/pu/img/IzxiRaJ9spoyLsSR.jpg"",""NoviBudi78"",""in"",""Cibinong"",""0"",""0"",""1"",""https://x.com/Yudi130272/status/1762990720225571257"",""1072515479602835456"",""Yudi130272""";;;;
"1762827192365703250,""Wed Feb 28 23:58:26 +0000 2024"",""0"",""@aulpacarhaechan Okay makasih aul. Nanti aku dm kalo lolos"",""1762990677091323970"","""",""ucanuco"",""in"",""your future business man"",""0"",""1"",""0"",""https://x.com/lovinstudying/status/1762990677091323970"",""1698517789697294336"",""lovinstudying""";;;;
"1762983857446662470,""Wed Feb 28 23:58:21 +0000 2024"",""2"",""@ANDALASHUSNI @RheinaHerlina Iya mas. Hak angket kapan mulainya ya";" udah lebih lebih itu jumlah kursinya kok ga dimulai-mulai. Terus kata Gibran : poeple power saya lihat people nya cuma dikit. Itu gimana ya? Kalau dikit apa mewakili suara masyarakat?"",""1762990653221523530"","""",""ANDALASHUSNI"",""in"",""DKI Jakarta, Indonesia."",""0"",""2"",""1"",""https://x.com/MinmonPS7/status/1762990653221523530"",""1116041282126618624"",""MinmonPS7""";;;
"1762448810079564089,""Wed Feb 28 23:58:02 +0000 2024"",""0"",""@Andi_Rubby @liaaaa33__ @udimien @ummuibnrizq @bangZhack86 @gibran_tweet Oi negara Lo tu maju itu udah termasuk berhasil pembangunan dimana mana yakali ga ada hasil negara lain aja mengakui negara Indonesia negara maju masa rakyat sendiri ga "",""1762990573395562922"","""",""Andi_Rubby"",""in"",""Palembang"",""0"",""1"",""0"",""https://x.com/ditamodo/status/1762990573395562922"",""466410934"",""ditamodo""";;;;
"1762836651792109661,""Wed Feb 28 23:57:07 +0000 2024"",""0"",""@Uki23 juoss PSI bisa masuk senayan nih...."",""1762990342679429514"","""",""Uki23"",""in"",""Tangerang, Indonesia"",""0"",""0"",""0"",""https://x.com/xbm_021/status/1762990342679429514"",""979392009671655424"",""xbm_021""";;;;
"1762448810079564089,""Wed Feb 28 23:56:44 +0000 2024"",""1"",""@Ahmadboskaa @liaaaa33__ @udimien @ummuibnrizq @bangZhack86 @gibran_tweet Oi mas namanya juga lu hidup d negara maju ya jelas apa apa serba mahal lu balik aja Sono di jaman dlu dijaman dlu emang murah2 tp ga sanggup beli skrg jaman mahal sanggupkan beli duh duh"",""1762990246269165610"","""",""Ahmadboskaa"",""in"",""Palembang"",""0"",""1"",""0"",""https://x.com/ditamodo/status/1762990246269165610"",""466410934"",""ditamodo""";;;;
"1762990127150989635,""Wed Feb 28 23:56:15 +0000 2024"",""0"",""orang aneh ngejokes 16 ganjar tp ga terima dibales 23 gibran"",""1762990127150989635"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/waegeuroke/status/1762990127150989635"",""1733813685066616832"",""waegeuroke""";;;;
"1762448810079564089,""Wed Feb 28 23:55:41 +0000 2024"",""0"",""@alibarrand @liaaaa33__ @udimien @ummuibnrizq @bangZhack86 @gibran_tweet Di kibulin gimana mas ? 10 th ini negara Indonesia menjadi negara maju emang dasar rakyat ya aja gamau ada kemajuan makanya otaknya dangkal"",""1762989983252861344"","""",""alibarrand"",""in"",""Palembang"",""0"",""0"",""0"",""https://x.com/ditamodo/status/1762989983252861344"",""466410934"",""ditamodo""";;;;
"1762989946749743320,""Wed Feb 28 23:55:32 +0000 2024"",""0"",""2 tahun d aceh gak pernah kepikiran buat cobain boh manok weng sekarang udah d bandung malah penasaran "",""1762989946749743320"","""","""",""in"",""Bandung, Jawa Barat"",""0"",""1"",""0"",""https://x.com/GibranRamadha/status/1762989946749743320"",""924729636"",""GibranRamadha""";;;;
"1762494342886035857,""Wed Feb 28 23:54:46 +0000 2024"",""0"",""@gibran_tweet siap nggih pak"",""1762989752050131455"","""",""gibran_tweet"",""in"","""",""0"",""0"",""0"",""https://x.com/Maharannys/status/1762989752050131455"",""489945303"",""Maharannys""";;;;
"1762986009384693928,""Wed Feb 28 23:53:47 +0000 2024"",""34"",""@ashar_umank96 Belum tentu berani tampil karena sudah siap dan itu terlihat ketika debat cawapres. Banyak anak muda yg akhirnya care dengan gibran. Anak muda sangat terwakilkan keberanian gibran."",""1762989504825307411"","""",""ashar_umank96"",""in"",""Jakarta Capital Region, Indone"",""2"",""19"",""2"",""https://x.com/Hasbil_Lbs/status/1762989504825307411"",""931419055549906944"",""Hasbil_Lbs""";;;;
"1762778907391205859,""Wed Feb 28 23:53:34 +0000 2024"",""0"",""@NdrewsTjan HE.HE.HE (tawa Jokowi tanggapi gibran jadi cawapres)... pertama umur kedua baru yo dua tahun jadi wali kota... ee..ee.. yang logis aja lah... https://t.co/5wVfdJwRLE"",""1762989449498312735"",""https://pbs.twimg.com/media/GHdkvwRbkAAGiTl.jpg"",""h2l_62"",""in"",""Kota Bandung, Jawa Barat"",""0"",""0"",""0"",""https://x.com/h2l_62/status/1762989449498312735"",""1338357830"",""h2l_62""";;;;
"1762983857446662470,""Wed Feb 28 23:52:35 +0000 2024"",""0"",""@MinmonPS7 paling cocok Gibran.. selera"",""1762989203284242437"","""",""MinmonPS7"",""in"","""",""0"",""0"",""0"",""https://x.com/asshofi70/status/1762989203284242437"",""1090186769448878080"",""asshofi70""";;;;
"1756162155924308173,""Wed Feb 28 23:52:22 +0000 2024"",""0"",""@akbarfaizal68 @jokowi @prabowo @gibran_tweet @luhut_binsar @bahlillahadalia Kok nanya aja"",""1762989147067924929"","""",""akbarfaizal68"",""in"","""",""0"",""0"",""0"",""https://x.com/muhtadiamir79/status/1762989147067924929"",""755596071275892736"",""muhtadiamir79""";;;;
"1762989030680170507,""Wed Feb 28 23:51:54 +0000 2024"",""0"",""Soalnya banyak singaporean spy yg follow saya lalu terpesona sama wisdom saya @jokowi @gibran_tweet @prabowo Jadi mereka mau menggabungkan wisdom 40+ dengan kemampuan teknologi. Tanpa tahu dedikasi yg dibutuhkan untuk bisa jadi kek saya Saya ga ada wisdom sih tapi tuwir iya."",""1762989030680170507"","""","""",""in"",""Indonesia"",""0"",""1"",""0"",""https://x.com/rizahariati/status/1762989030680170507"",""91758662"",""rizahariati""";;;;
"1762855732561789133,""Wed Feb 28 23:51:52 +0000 2024"",""35"",""@fajarnugros Jokowi vs jokowi juga ad prabowo vs prabowo juga bnyak yg belum ad sih gibran vs gibran krna ga ad wawasan tiap ditanya KOSONG lbih jago adek2an gua di tongkrongan mah klo soal tnga jawab "",""1762989022409040170"","""",""fajarnugros"",""in"","""",""0"",""6"",""3"",""https://x.com/BaBiBuBe_GoG/status/1762989022409040170"",""1197834075358126081"",""BaBiBuBe_GoG""";;;;
"1762978491392508135,""Wed Feb 28 23:51:50 +0000 2024"",""0"",""@liajastip @kitipiee Ini naya yang di fokus literasi 006 bukan dah "",""1762989014507004133"","""",""bengkelkenya"",""in"",""your future business man"",""0"",""2"",""0"",""https://x.com/lovinstudying/status/1762989014507004133"",""1698517789697294336"",""lovinstudying""";;;;
"1761377224182431947,""Wed Feb 28 23:51:47 +0000 2024"",""0"",""@ameokkotsu @gibran_tweet Makanya... Udh gw kasih tau dia itu goblok... Masih aja dipilih.."",""1762989003786367408"","""",""jqpota"",""in"",""Papua, Indonesia"",""0"",""0"",""0"",""https://x.com/Haggi38374778/status/1762989003786367408"",""1013247401358868481"",""Haggi38374778""";;;;
"1762989001664078137,""Wed Feb 28 23:51:47 +0000 2024"",""1"",""Kerja capek ngga kerja ya ngga punya wang "",""1762989001664078137"","""","""",""in"",""Indonesia || Korea"",""0"",""0"",""0"",""https://x.com/Nikmatul_Gibran/status/1762989001664078137"",""1181526624"",""Nikmatul_Gibran""";;;;
"1762988921515053299,""Wed Feb 28 23:51:28 +0000 2024"",""0"",""Seminggu ini tiap bangun tidur rasanya kaya di gebukin se Rt alias badanku sakit semua "",""1762988921515053299"","""","""",""in"",""Indonesia || Korea"",""0"",""0"",""0"",""https://x.com/Nikmatul_Gibran/status/1762988921515053299"",""1181526624"",""Nikmatul_Gibran""";;;;
"1762988848282562874,""Wed Feb 28 23:51:10 +0000 2024"",""0"",""Kader Sambut Positif Wacana PPP Gabung Prabowo-Gibran https://t.co/XVKF7ssVM2"",""1762988848282562874"","""","""",""in"",""Indonesia"",""0"",""0"",""0"",""https://x.com/rmol_id/status/1762988848282562874"",""990237626"",""rmol_id""";;;;
"1762988845090676777,""Wed Feb 28 23:51:10 +0000 2024"",""1"",""Pasangan calon presiden-calon wakil presiden (capres-cawapres) nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka memperoleh 58 83 persen. https://t.co/SeHntQ4zbE"",""1762988845090676777"","""","""",""in"",""Jakarta"",""0"",""0"",""0"",""https://x.com/kompascom/status/1762988845090676777"",""23343960"",""kompascom""";;;;
"1762986813575340190,""Wed Feb 28 23:50:50 +0000 2024"",""0"",""@tempodotco Amin paling rendah karna Amin bukan anak Jokowi Prabowo Gibran unggul karna Prabowo anak buah Jokowi Gibran anak Jokowi min"",""1762988760973869325"","""",""tempodotco"",""in"","""",""0"",""0"",""0"",""https://x.com/linglin53187986/status/1762988760973869325"",""1604403980582674432"",""linglin53187986""";;;;
"1762827192365703250,""Wed Feb 28 23:50:45 +0000 2024"",""0"",""@aulpacarhaechan Deket stasiun atau terminal ngga "",""1762988741688545339"","""",""ucanuco"",""in"",""your future business man"",""0"",""1"",""0"",""https://x.com/lovinstudying/status/1762988741688545339"",""1698517789697294336"",""lovinstudying""";;;;
"1762696563712012752,""Wed Feb 28 23:49:58 +0000 2024"",""0"",""@CNNIndonesia Jangan sekedar formalitas tanpa tindakan hukuman"",""1762988546259063080"","""",""CNNIndonesia"",""in"",""Indonesia"",""0"",""0"",""0"",""https://x.com/kinoyastilianti/status/1762988546259063080"",""514341659"",""kinoyastilianti""";;;;
"1762844898901008627,""Wed Feb 28 23:49:31 +0000 2024"",""0"",""@Algoritma67 @msaid_didu Produk kekacauan? Iya sih gara2 adanya Gibran 01 dan 03 jadi kalah kan kacau jadinya. Kebijakan ugal2an? Ga juga ah. Harga biaya hidup meningkat? Dari dulu juga gitu narasinya. Kalah ngamuk semua orang dibego2in. Beli balon gih sana biar terhibur. "",""1762988432157233537"","""",""Algoritma67"",""in"",""Bogor Tengah, Indonesia"",""0"",""1"",""0"",""https://x.com/yanuyasha/status/1762988432157233537"",""245685628"",""yanuyasha""";;;;
"1762988313739448801,""Wed Feb 28 23:49:03 +0000 2024"",""859"",""TKN Prabowo-Gibran: Ada Capres Ketemu Dubes Israel di Singapura dan Tolak IKN serta Hilirisasi https://t.co/l4nMjBNlT8"",""1762988313739448801"","""","""",""in"","""",""24"",""225"",""138"",""https://x.com/OposisiCerdas/status/1762988313739448801"",""887743587579944960"",""OposisiCerdas""";;;;
"1762976965764776423,""Wed Feb 28 23:48:49 +0000 2024"",""0"",""@seanfmuhamad Tapi poinnya itu karena narasi keberlanjutan itu diklaim dan diiyakan oleh 02 jadi ketika ada apa2 di saat ini pasti yang kena ya 02 (di samping itu kan mas Gibran selaku calon wakil presiden 02 kan anaknya Presiden yang menjabat sekarang :) )"",""1762988253462880446"","""",""seanfmuhamad"",""in"",""Singosari, Malang, Indonesia"",""0"",""1"",""0"",""https://x.com/Ridlo_Brian/status/1762988253462880446"",""1032999800113778689"",""Ridlo_Brian""";;;;
"1762360447028904088,""Wed Feb 28 23:48:18 +0000 2024"",""0"",""@AgusYudhoyono KAPAN KE KABUPATEN MENTAWAI PAGAI SELATAN MAS @AgusYudhoyono tentang BPN belum ada hak milik kami Mas terima kasih Mas Agus dari Mentawai Pagai selatan sumatra barat @erickthohir @gibran_tweet"",""1762988125650112718"","""",""AgusYudhoyono"",""in"","""",""0"",""0"",""0"",""https://x.com/NSamaloisa70319/status/1762988125650112718"",""1751833829663469568"",""NSamaloisa70319""";;;;
"1762827192365703250,""Wed Feb 28 23:47:29 +0000 2024"",""0"",""@aulpacarhaechan Iya tau kok maksudnya kamu ngekos berapa gitu soalnya nyari info kos around 1jutaan "",""1762987921207132508"","""",""ucanuco"",""in"",""your future business man"",""0"",""1"",""0"",""https://x.com/lovinstudying/status/1762987921207132508"",""1698517789697294336"",""lovinstudying""";;;;
"1762448810079564089,""Wed Feb 28 23:46:36 +0000 2024"",""0"",""@Mustaghfiri2 @liaaaa33__ @udimien @ummuibnrizq @bangZhack86 @gibran_tweet Tapi lu pakai nggak yang fasilitas hasil ngutang itu ?"",""1762987697227075720"","""",""Mustaghfiri2"",""in"",""East Nusa Tenggara, Indonesia"",""0"",""0"",""0"",""https://x.com/cahchubby/status/1762987697227075720"",""235467973"",""cahchubby""";;;;
"1762917184559280278,""Wed Feb 28 23:45:58 +0000 2024"",""0"",""@Aryprasetyo85 @007koteka @03__nakula @__AnakKolong @Anak__Ogi @AntoniusCDN @BiLLRaY2019 @islah_bahrawi @Miduk17 @ekokuntadhi1 @Dennysiregar7 Kontrak Buser di perpanjang ya ri?"",""1762987539349291355"","""",""Aryprasetyo85"",""in"","""",""0"",""0"",""0"",""https://x.com/Dulure_Gibran/status/1762987539349291355"",""4319618606"",""Dulure_Gibran""";;;;
"1762793493326664031,""Wed Feb 28 23:25:34 +0000 2024"",""0"",""@narkosun @CHaendrajit Makzulkan Jokowi Segera diskualifikasi prabowo gibran"",""1762982404980117963"","""",""narkosun"",""in"","""",""0"",""0"",""0"",""https://x.com/Joxplalong/status/1762982404980117963"",""1414014630507081731"",""Joxplalong""";;;;
"1762653271515369753,""Wed Feb 28 23:25:31 +0000 2024"",""1"",""@opposite6892 AHY ngga masuk lah yang jelas Luhut agennya globalist sisanya gatau bahkan prabowo yang lebih saya curigai sebagai agen globalist itu gibran. Jadi prabowo menang itu bukan karena prabowo jahat tapi karena globalist nunjuk gibran nerusin agenda yang sudah dijalankan ayahnya"",""1762982390832796124"","""",""opposite6892"",""in"","""",""0"",""1"",""1"",""https://x.com/Vermilo1/status/1762982390832796124"",""1205191778002882563"",""Vermilo1""";;;;
"1762872296111587601,""Wed Feb 28 23:24:48 +0000 2024"",""0"",""@ronavioleta @bawaslu_RI @KPU_ID @JimlyAs @jokowi @prabowo @gibran_tweet @kaesangp @ZUL_Hasan @airlangga_hrt @erickthohir @bahlillahadalia Aamiin ya robbal alamiin"",""1762982211283005684"","""",""ronavioleta"",""in"","""",""0"",""0"",""0"",""https://x.com/tatargaluh77/status/1762982211283005684"",""986092935690174465"",""tatargaluh77""";;;;
"1762818911504883765,""Wed Feb 28 23:24:15 +0000 2024"",""2"",""@TSolihien @alham1970 Makzulkan Jokowi Segera diskualifikasi prabowo gibran"",""1762982072258597269"","""",""TSolihien"",""in"","""",""0"",""1"",""0"",""https://x.com/Joxplalong/status/1762982072258597269"",""1414014630507081731"",""Joxplalong""";;;;
"1762826092438794300,""Wed Feb 28 23:20:17 +0000 2024"",""0"",""@PDI_Perjuangan Yg perlu di angket kan itu kecurangan yang terjadi sebelum pemilu seperti cawe2 paman MK merubah aturan pemilu pembagian bansos dan BLT yg dirapel diawal di masa kampanye dan pelanggaran KPU pd pendaftaran gibran"",""1762981072843972736"","""",""PDI_Perjuangan"",""in"",""IDN"",""0"",""0"",""0"",""https://x.com/riyutoooo/status/1762981072843972736"",""85260690"",""riyutoooo""";;;;
"1762638234113511706,""Wed Feb 28 23:18:54 +0000 2024"",""0"",""@Muslim_AntiPKI9 Gak bahaya ta @gibran_tweet klo dites hasilnya positif semoga aja negatif."",""1762980725182419219"","""",""Muslim_AntiPKI9"",""in"","""",""0"",""0"",""0"",""https://x.com/AntiMukidi/status/1762980725182419219"",""1553330344153079808"",""AntiMukidi""";;;;
"1762832064863469703,""Wed Feb 28 23:17:09 +0000 2024"",""0"",""@Fahrihamzah Tapi kesetiaan itu luntur ketika jadi menhan nya jokowi tanpa jokowipun Prabowo bakalan jadi Presiden tanpa jadi menhanpun Prabowo tetep jadi Presiden tanpa gibran pun Prabowo tetep jadi Presiden "",""1762980286055452939"","""",""Fahrihamzah"",""in"","""",""0"",""0"",""0"",""https://x.com/LemahT55432/status/1762980286055452939"",""1739740084566675457"",""LemahT55432""";;;;
"1762979972975841666,""Wed Feb 28 23:15:54 +0000 2024"",""0"",""#ClimateScam #ClimateCult #PlandedemitCopedHOAX LAWAN️️ WorldHoaksOrganization WEF dan BUDAK-BUDAKnya SIAPAPUN itu️️ CC: Bapak Presiden R.I. Ir. @jokowi @basuki_btp @AhokBasuki_btp @kaesangp @gibran_tweet @bobbynasution_"",""1762979972975841666"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/Adv_ERAT/status/1762979972975841666"",""609620003"",""Adv_ERAT""";;;;
"1762503205370642658,""Wed Feb 28 23:15:19 +0000 2024"",""0"",""@YasrizalJ57255 @dylkiara @Anak__Ogi @Bull_winner Eh goblok ngapain gibran cape² bahas beginian ente gabjsa mikir sendiri? Ente ga bisa buka google?"",""1762979826653422046"","""",""YasrizalJ57255"",""in"","""",""0"",""1"",""0"",""https://x.com/dianziahh/status/1762979826653422046"",""1620833536210255875"",""dianziahh""";;;;
