"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1762878314216309218","Wed Feb 28 16:31:57 +0000 2024","1","Pemberian Pangkat Jenderal Kehormatan: Jubir Timnas AMIN: Ada Agenda Tertentu Jokowi-Prabowo. Kalau memang mau jadi jenderal kehormatan kenapa nggak pas awal-awal jadi Menhan? knp sekarang setelah menang pemilu versi quick count gitu https://t.co/8rF1JyRX5Z @STresnowati1","1762878314216309218","","","in","","0","0","0","https://x.com/Simanjunta9Nico/status/1762878314216309218","1460142601449840652","Simanjunta9Nico"
"1762832064863469703","Wed Feb 28 16:31:44 +0000 2024","0","@Fahrihamzah SBY Agum Gumelar dkk-nya di DKP kau anggap lagi TOLOL saat memutuskan Prabowo bersalah..???","1762878261196112160","","Fahrihamzah","in","","0","1","0","https://x.com/sinagano2/status/1762878261196112160","1548994272808304642","sinagano2"
"1762866865175761058","Wed Feb 28 16:28:40 +0000 2024","0","@BeritakanID_com Jokowi Pembohong Prabowo Pengkhianat ... ... Allahumma sholli ala sayyidina muhammad wa ASYGHILIDZ DZOLIMIN BIDZ DZOLIMIN wa akhrijna min bainihim salimin wa ala alihi wa shohbihi ajma iin.","1762877486747238475","","BeritakanID_com","in","Somewhere in the universe. ","0","0","0","https://x.com/D1t07/status/1762877486747238475","1257050681925459968","D1t07"
"1762853896991744130","Wed Feb 28 16:28:39 +0000 2024","0","@Muhammad_Saewad Syukurin loh.... mamam tuh oke gas okee gas...","1762877484834636211","","Muhammad_Saewad","in","","0","0","0","https://x.com/prabowo_wishnu/status/1762877484834636211","1569863143656136705","prabowo_wishnu"
"1762877434154860994","Wed Feb 28 16:28:27 +0000 2024","0","wkwk difikir² salahnya anies ya bantuin jokowi 2014 dan prabowo 2019 tipe anies emang bikin social movement.. salahnya dua itu jd musuh dia skrg ya jd senjata makan tuan jkw-pbw msh pake relawan fanatik buat jd buzzer + org jdnya gak percaya sm gerakan organik /dianggap kultus","1762877434154860994","","","in","everywhere","1","1","0","https://x.com/utopialalala/status/1762877434154860994","1570920267148562433","utopialalala"
"1762877398125789207","Wed Feb 28 16:28:19 +0000 2024","1","Pak @jokowi telah memulihkan nama baik pak @prabowo yg difitnah oleh pembencinya yg fitnah itu jelas tidak terbukti. Dari pdip tentu sewot krn kalah pilpres.... Kubu 01 dan 03 baru Sandiaga dari PPP yg ksatria mengucapkan selamat. Yg lainnya pengecut. https://t.co/DeNpJiN3kq","1762877398125789207","","","in","","0","0","1","https://x.com/jari_droid/status/1762877398125789207","1486631613932834819","jari_droid"
"1762877324708692100","Wed Feb 28 16:28:01 +0000 2024","1","Kapolri: Sinergitas TNI-Polri Harga Mati Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo M. Si. menyatakan bahwa sinergitas antara Polri dan TNI merupakan hal yang mutlak. Kapolri juga menuturkan pihaknya akan terus mengawal dan mengamankan sumber : @DivHumas_Polri https://t.co/aU8nFNUojw","1762877324708692100","https://pbs.twimg.com/media/GHb_lUTakAABve7.jpg","","in","","0","0","0","https://x.com/ANDIEbaket18/status/1762877324708692100","1596076523684929536","ANDIEbaket18"
"1762059993896091803","Wed Feb 28 16:28:01 +0000 2024","0","@IbnuMuzb Q orang Bojonegoro ketawa geli liat hasil tempatku 75 % Prabowo Bojonegoroklu mau bohong jgn terlalu goblok","1762877323756585460","","IbnuMuzb","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/buanasusilo69/status/1762877323756585460","519102791","buanasusilo69"
"1762760624009073065","Wed Feb 28 16:28:00 +0000 2024","1","@Chavesz08 @prabowo Berjasa krn Korupsi ya ! ","1762877318849249417","","Chavesz08","in","Jakarta ","0","2","0","https://x.com/arvand90/status/1762877318849249417","1614176971310911490","arvand90"
"1762719247967584630","Wed Feb 28 16:27:56 +0000 2024","0","@Puthutea Pemimpin ga punya urat malu rakyatnya bodoh2... begitu kira2... dimana serunya bang ??","1762877305607831716","","Puthutea","in","","0","0","0","https://x.com/prabowo_wishnu/status/1762877305607831716","1569863143656136705","prabowo_wishnu"
"1762685759407243691","Wed Feb 28 16:27:46 +0000 2024","0","@xquitavee @jokowi @prabowo Untuk monyet monyet istana https://t.co/JnrXIKAT0t","1762877260900794410","https://pbs.twimg.com/ext_tw_video_thumb/1762877236426981382/pu/img/8Xm65DGuk3G8DenR.jpg","xquitavee","hu","","0","0","0","https://x.com/cokro_alam/status/1762877260900794410","1734790601055641600","cokro_alam"
"1762840903348306288","Wed Feb 28 16:27:45 +0000 2024","0","@fahiraidris @prabowo Alhamdulillah gw dari semenjak dia nyalonin dpd pada pilpres yg lalu sampe pilpres yang kemarin gw ga nyoblos dia emang udah eneeekk liat lagunya dikata orang betawi klender demen banget kali ma diaa...","1762877256463171954","","fahiraidris","in","","0","0","0","https://x.com/smutiah878/status/1762877256463171954","1517942649747304448","smutiah878"
"1762877219469410415","Wed Feb 28 16:27:36 +0000 2024","0","Kek salah banget gw dukung @prabowo @gibran_tweet pdhl suka suka gw lah disebut dungu tolol bodo amat g ngaruh mangga aja lumayan nambah2 pahala disebut apapun sama yng g suka","1762877219469410415","","","in","Cirebon Barat, Indonesia","0","0","0","https://x.com/inijametsad/status/1762877219469410415","1321332002717532161","inijametsad"
"1762877182458872110","Wed Feb 28 16:27:27 +0000 2024","5","Pres Prabowo RC Pangti TNI TENG","1762877182458872110","","","in","Jakarta Capital Region, Indone","0","0","0","https://x.com/cagubnyinyir2/status/1762877182458872110","1013331201396912128","cagubnyinyir2"
"1762877126930481161","Wed Feb 28 16:27:14 +0000 2024","0","Program Makan Siang Gratis Prabowo Siapa Saja yang Dapat dan dari Mana Uangnya? Halaman all - https://t.co/7rNEecngZL https://t.co/dm3Lkq7ALi #MenangSeputaran","1762877126930481161","","","in","","0","0","6","https://x.com/Herlina_Muachhh/status/1762877126930481161","772985986187825152","Herlina_Muachhh"
"1762877126175506509","Wed Feb 28 16:27:14 +0000 2024","0","Program Makan Siang Gratis Prabowo Siapa Saja yang Dapat dan dari Mana Uangnya? Halaman all - https://t.co/CsfOuA9GQe https://t.co/8osg9ySlis #MenangSeputaran","1762877126175506509","","","in","","0","0","6","https://x.com/AzzrielAzaryahu/status/1762877126175506509","797615281455525888","AzzrielAzaryahu"
"1762767720272257213","Wed Feb 28 16:27:02 +0000 2024","0","@YRadianto Yang menang pak Prabowo yang disalahin pak Jokowi Lucu hehe","1762877077186019760","","YRadianto","in","","0","0","0","https://x.com/Indothebest1/status/1762877077186019760","1132673754155192320","Indothebest1"
"1762507774267949198","Wed Feb 28 16:27:01 +0000 2024","0","@H4T14K4LN4L42 @jokowi @prabowo pendukung 01 ya begini ini model nya kalah ngamuk","1762877071423160634","","H4T14K4LN4L42","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Imeldawaty8/status/1762877071423160634","1129923584665669632","Imeldawaty8"
"1762877058315887027","Wed Feb 28 16:26:58 +0000 2024","1","Semoga ini sampai sama pak @prabowo biar mayor Teddy selalu mendampingi bapak ..","1762877058315887027","","","in","","0","0","0","https://x.com/azim_marekhan/status/1762877058315887027","1643220684095766528","azim_marekhan"
"1761617207073902674","Wed Feb 28 16:26:44 +0000 2024","0","@Dahnilanzar @prabowo Rakyat mna nil.. maksud loe rakyat sungai nil","1762877001172668769","","Dahnilanzar","in","","0","0","0","https://x.com/Putrabo22846561/status/1762877001172668769","1535596154473545728","Putrabo22846561"
"1762875673801343346","Wed Feb 28 16:26:37 +0000 2024","0","@Papa_Brewook Bj Habibie aja dukung prabowo https://t.co/ddjCHoAAtJ","1762876971590299996","","Papa_Brewook","in","","0","0","0","https://x.com/EvosNobru11664/status/1762876971590299996","1748612698966003712","EvosNobru11664"
"1762876947548573770","Wed Feb 28 16:26:31 +0000 2024","1"," Wah ini pasti fitnah Kata pendukung prabowo garis keras Silahkan melupakan masa lalu namun kami belum tentu ️","1762876947548573770","","","in","anywhere but here","0","0","0","https://x.com/aditamafaisal/status/1762876947548573770","1223320346","aditamafaisal"
"1762723433027342588","Wed Feb 28 16:26:25 +0000 2024","2","@KimuraHideyoshi Ga si paling tau juga tapi ya beberapa kali mergokin warga lain juga sering mergokin beliau naik MRT / sepedaan kok. Lah rumah beliau aja di gang ga pake pager2 macam rumah Prabowo bisa dibilang pejabat yg merakyat","1762876922332360762","","KimuraHideyoshi","in","Jakarta","0","0","0","https://x.com/kochenglatte/status/1762876922332360762","67054103","kochenglatte"
"1762876864228716748","Wed Feb 28 16:26:11 +0000 2024","0","Enak banget ya jadi prabowo kalo punya pendukung kayak gini","1762876864228716748","","","in","","0","0","0","https://x.com/GarislucuGm/status/1762876864228716748","1601705800959152128","GarislucuGm"
"1762830348931801251","Wed Feb 28 16:26:02 +0000 2024","0","@Fahrihamzah Enak banget ya jadi prabowo kalo punya pendukung kayak gini","1762876825322287556","","Fahrihamzah","in","","0","0","0","https://x.com/GarislucuGm/status/1762876825322287556","1601705800959152128","GarislucuGm"
"1762876815817986210","Wed Feb 28 16:26:00 +0000 2024","0","#zonauang #zonajajan #infoloker #lokerwfh info loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney+ viu joki wts wtb pc konser tiket debat pemilu capres cawapres amin anies imin pragi prabowo gibran ganjar mahfud 49","1762876815817986210","","","in","she/her","0","0","0","https://x.com/idolletes/status/1762876815817986210","734741352236220417","idolletes"
"1762876711753175182","Wed Feb 28 16:25:35 +0000 2024","4","Usai Dianugerahi Jenderal Bintang 4 Prabowo Gelar Syukuran di Kertanegara https://t.co/AgzDEYZxSv","1762876711753175182","","","in","Indonesia","1","3","2","https://x.com/KompasTV/status/1762876711753175182","71436318","KompasTV"
"1762842869084344321","Wed Feb 28 16:25:30 +0000 2024","0","@tvOneNews PRESTASI PAK PRABOWO ITU...MUNGUT SAMPAH JADI GUBERNUR DKI. (sengaja pake huruf Capital biar jelas) @aniesbaswedan","1762876692912329151","","tvOneNews","in","simpang surga deket depok","0","0","0","https://x.com/PenjualSate69/status/1762876692912329151","1603635879603367936","PenjualSate69"
"1762733958796894287","Wed Feb 28 16:25:24 +0000 2024","1","@floragoldameik1 @Miduk17 Karna yg dilakukan Prabowo itu operasi rahasia yg bisa jadi semua/sebagian dari anggota DKP itu tahu &amp; mereka tahu persis sikap apa yg harus diambil jika operasi rahasia itu gagal/terbongkar jadi tdk aneh kenapa Pius &amp; Desmond sbg aktivis yg diculik justru bergabung diGerindra","1762876667314450730","","floragoldameik1","in","","0","0","0","https://x.com/NordickVv/status/1762876667314450730","1483614343195693056","NordickVv"
"1762814501009883355","Wed Feb 28 16:24:45 +0000 2024","1","@RandomWorldWar @mahadewa08 Semoga dengan Prabowo naik jadi Presiden hal-hal soalan seperti ini ada jalan keluarnya. Apalagi Menteri Pertahannya Prof. Dudung.","1762876501110952359","","RandomWorldWar","in","","0","0","0","https://x.com/mnwishful/status/1762876501110952359","1487499777629908992","mnwishful"
"1762830613680476416","Wed Feb 28 16:24:42 +0000 2024","0","@Uki23 Buzzernya prabowo pasti akan ngetweet modelan gini","1762876488557408410","","Uki23","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/shofiaprllia/status/1762876488557408410","1060788657890586624","shofiaprllia"
"1762876478906351728","Wed Feb 28 16:24:39 +0000 2024","0","yah memang gue gaperna cukup dan jelek dan beban mending ngilang aja p @prabowo bantu hilangkan sy","1762876478906351728","","","in","a V V cursed dieary of adin :o","0","0","0","https://x.com/garisselesai/status/1762876478906351728","1480000716064182274","garisselesai"
"1762830348931801251","Wed Feb 28 16:24:31 +0000 2024","0","@Fahrihamzah Mestinya sebelum itu dilakukan prabowo datang dulu ke komnas HAM menjelaskan semuanya sehingga ada kejelasan status prabowo diberhentikan......","1762876443200205308","","Fahrihamzah","in","","0","0","0","https://x.com/patriotiku/status/1762876443200205308","749123511352848390","patriotiku"
"1762876429312860555","Wed Feb 28 16:24:28 +0000 2024","0","Selamat atas penganugerahan Jenderal Bintang 4 Pak @prabowo . Kami segenap tim dr Pak @fadlizon sangat bangga denganmu Jenderal. #JubirRakyat https://t.co/MBpvLZpMs1","1762876429312860555","https://pbs.twimg.com/media/GHb-mrQbEAASq39.jpg","","in","","0","0","0","https://x.com/Hariss_FZ/status/1762876429312860555","1089537241267859456","Hariss_FZ"
"1762876378670887302","Wed Feb 28 16:24:15 +0000 2024","4","Selamat buat Jendral @prabowo","1762876378670887302","","","in","Samarinda","0","0","0","https://x.com/Papa_Brewook/status/1762876378670887302","1642345189502222336","Papa_Brewook"
"1762876348358672395","Wed Feb 28 16:24:08 +0000 2024","1","...oh jadi panglima tni dijual namanya untuk menaikkan pangkat prabowo?...hmmm...panglima tni pasca soeharto yg paling berintegritas cuma 2: m yusuf &amp; moerdani...","1762876348358672395","","","in","Twitterland is not a diary!","0","0","0","https://x.com/M4ngU5il/status/1762876348358672395","388798201","M4ngU5il"
